Response variable,Model description,No. parameters,AICc,$\delta$AICc,Cumulative weight,Conditional $R^2$,Marginal $R^2$
Distance travelled (m),D * H^2,8,202.328736850248,0,0.492265075831059,0.837963217899613,0.363640581328346
Distance travelled (m),S + D * H^2,9,204.050664760717,1.72192791046851,0.700372287617253,0.832760189613706,0.385154619318809
Distance travelled (m),D * H^2 + L + X,10,205.101966759704,2.77322990945558,0.823399108639557,0.818788545492373,0.213910236133048
Distance travelled (m),S * D * H^2,14,206.111879240785,3.78314239053717,0.897649730149536,0.81190362925864,0.231561969338361
Distance travelled (m),S + D * H^2 + L + X,11,206.850293344307,4.52155649405924,0.948977867921641,0.832333618532632,0.386177497030571
Distance travelled (m),T + S * D * H^2,15,208.102540866206,5.77380401595769,0.976420983432615,0.828155699839232,0.370921420347268
Distance travelled (m),S * D * H^2 + L + X,16,209.029410659804,6.70067380955564,0.993685968028812,0.789742407604197,0.330920429651904
Distance travelled (m),T + S * D * H^2 + L + X,17,211.04819186187,8.71945501162176,0.999978036312573,0.788705866017951,0.324647385320613
Distance travelled (m),T * S * D * H^2,26,222.702767435853,20.3740305856048,0.999996573101157,0.811393438004533,0.232811358916178
Distance travelled (m),T * S * D * H^2 + L + X,28,226.07897074699,23.750233896742,0.999999999999826,0.807186473944517,0.216879100646015
Distance travelled (m),S + H^2,6,262.207798218498,59.8790613682496,0.999999999999875,0.7642868682915,0.164296561520985
Distance travelled (m),S * H^2,8,263.519995101848,61.1912582516005,0.9999999999999,0.763567236012065,0.158001032194844
Distance travelled (m),D + H^2,6,263.530745567837,61.2020087175886,0.999999999999926,0.790696824332031,0.321295225856711
Distance travelled (m),S + D + H^2,7,263.562768743501,61.2340318932532,0.99999999999995,0.789948699421465,0.311957046521499
Distance travelled (m),S + H^2 + L + X,8,264.816415323114,62.4876784728663,0.999999999999964,0.828199672874107,0.370595169404678
Distance travelled (m),D + S * H^2,9,265.197831686696,62.8690948364478,0.999999999999975,0.788157466941111,0.322450754060625
Distance travelled (m),D + H^2 + L + X,8,266.132053128678,63.8033162784298,0.999999999999982,0.766061058100241,0.154532604522545
Distance travelled (m),S * H^2 + L + X,10,266.177293791488,63.84855694124,0.999999999999988,0.765916810575391,0.145271318321615
Distance travelled (m),S + D + H^2 + L + X,9,266.192983011584,63.8642461613357,0.999999999999995,0.807262744433142,0.216548149307323
Distance travelled (m),D + S * H^2 + L + X,11,267.878028385946,65.5492915356978,0.999999999999998,0.763101876577191,0.155546426243517
Distance travelled (m),S + D * H,7,269.08554472749,66.7568078772417,1,0.824547475203779,0.149799719071609
Distance travelled (m),S + D * H + L + X,9,271.992008087879,69.6632712376307,1,0.823967512307385,0.150073388479278
Distance travelled (m),S * D * H,10,274.828346420483,72.499609570235,1,0.821616715806327,0.109999041871893
Distance travelled (m),S * D * H + L + X,12,277.815226445676,75.4864895954276,1,0.821448942455316,0.109611815363752
Distance travelled (m),S + D + H,6,302.261365949579,99.932629099331,1,0.818243854833137,0.0289858112673425
Distance travelled (m),D + S * H,7,303.801451464912,101.472714614664,1,0.817573292004903,0.0288993146366845
Distance travelled (m),S + D + H + L + X,8,305.114709004375,102.785972154127,1,0.820156943374806,0.00798359773653845
Distance travelled (m),D + S * H + L + X,9,306.680648347847,104.351911497599,1,0.820015065286063,0.00769900130189862
Distance travelled (m),null,3,323.291293060228,120.96255620998,1,0.802360435126307,0
Direction travelled,S,2,518.188702910534,0,0.348729061995943,,0.012647825479176
Direction travelled,null,1,519.031552232794,0.842849322260008,0.577534181089417,,0.00822283613072688
Direction travelled,S + T,3,520.104562628458,1.91585971792358,0.71133676176705,,0.0125249256959121
Direction travelled,S * T,4,520.438125137241,2.24942222670688,0.824585223426764,,0.00798033847367324
Direction travelled,T,2,521.032941062003,2.84423815146863,0.908699492314155,,0.00783710644167451
Direction travelled,S + L + X,4,522.202741392288,4.01403848175448,0.95556472312344,,0.000375346029132362
Direction travelled,S + T + L + X,5,524.111411098484,5.92270818794975,0.973611032551804,,0.00767059586855379
Direction travelled,S * T + L + X,6,524.514108388489,6.32540547795509,0.988366188168788,,5.43214014306348e-05
Direction travelled,T + L + X,4,524.989462155991,6.8007592454569,1,,0
